gpgpu_clock_gated_lanes_mimic,stat_sample_freq_mimic,power_stats_get_total_inst_mimic,power_stats_get_total_int_inst_mimic,power_stats_get_total_fp_inst_mimic,power_stats_get_l1d_read_accesses_mimic,power_stats_get_l1d_write_accesses_mimic,power_stats_get_committed_inst_mimic,power_stats_get_regfile_reads_mimic,power_stats_get_regfile_writes_mimic,power_stats_get_non_regfile_operands_mimic,power_stats_get_inst_c_hits_mimic,power_stats_get_inst_c_misses_mimic,power_stats_get_constant_c_hits_mimic,power_stats_get_constant_c_misses_mimic,power_stats_get_texture_c_hits_mimic,power_stats_get_texture_c_misses_mimic,power_stats_get_shmem_read_access_mimic,power_stats_get_l1d_read_hits_mimic,power_stats_get_l1d_read_misses_mimic,power_stats_get_l1d_write_hits_mimic,power_stats_get_l1d_write_misses_mimic,power_stats_get_l2_read_hits_mimic,power_stats_get_l2_read_missess_mimic,power_stats_get_l2_write_hits_mimic,power_stats_get_l2_write_misses_mimic,num_idle_core,pipeline_duty_cycle,power_stats_get_dram_rd_mimic,power_stats_get_dram_wr_mimic,power_stats_get_dram_pre_mimic,power_stats_get_tot_fpu_accessess_mimic,power_stats_get_ialu_accessess_mimic,power_stats_get_tot_sfu_accessess_mimic,avg_sp_active_lanes,avg_sfu_active_lanes,n_icnt_simt_to_mem,n_icnt_mem_to_simt
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,12,0
0,500,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.976,0,0,0,0,0,0,0,0,0,0,0
